-27.34313076,152.9337107
-27.34309825,152.9337479
-27.34305715,152.9337691
-27.34300838,152.9337668
-27.34296776,152.9337418
-27.34292256,152.9337082
-27.3428827,152.9336586
-27.34283296,152.9336494
-27.34282764,152.933701
-27.34282598,152.9337534
-27.34284364,152.9338099
-27.34286395,152.9338613
-27.34289159,152.9339016
-27.34292444,152.9339512
-27.342942,152.934003
-27.34297223,152.9340434
-27.34302088,152.9340742
-27.34306699,152.9340944
-27.34311411,152.9340851
-27.34317212,152.9340991
-27.34322695,152.9340997
-27.34327223,152.9340917
-27.34331771,152.9340631
-27.34336264,152.934051
-27.34338319,152.934004
-27.34339636,152.9339509
-27.34340312,152.9338951
-27.34341271,152.9338398
-27.34340752,152.9337894
-27.34335705,152.9337662
-27.34330907,152.9337861
-27.34327788,152.9337345
-27.34322964,152.9336971
-27.34317424,152.9336927
-27.34312082,152.9336801
